planetName,discoveryMethod,planetsInSystem,orbitalPeriod,orbitalSemiMajorAxis,orbitalEccentricity,planetDensity,orbitalInclination,rightAscension,Declination,distanceParsecs,vBand,stellarTemperature,solarMass,solarRadii,periastronDays,planetEarthMasses,planetEarthMassSinI,planetEarthRadii,planetSolarRadii,stellarRadialVelocity,spectralType,stellarLuminosity,stellarDensity
ome Ser b,Radial Velocity,1,277.02,1.1,0.106,,,237.573105,2.196509,80.64,5.23,4770,2.17,12.3,2450022,,540.3,,,,4.8,1.85,
omi CrB b,Radial Velocity,1,187.83,0.83,0.191,,,230.03566,29.616209,84.03,5.51,4749,2.13,10.5,2452211,476.725,,,,,5,1.709,
omi UMa b,Radial Velocity,1,1630,3.9,0.13,,,127.566124,60.71817,56.31,3.36,5242,3.09,14.1,2453400,1303.05,,,,,4.5,2.14,
rho CrB b,Radial Velocity,1,39.845,0.22,0.04,,,240.261093,33.303509,17.43,5.4,,,,,,330.52928,,,17.8,4,,
tau Boo b,Radial Velocity,1,3.312433,,0.023,,44.5,206.815598,17.456905,15.6,4.5,,,,2455652.108,1891.01,,,,-16.2,3.5,,
tau Gem b,Radial Velocity,1,305.5,1.17,0.031,,,107.784882,30.245163,92.51,4.42,4388,2.3,26.8,2453270.7,,6547,,,22.02,5.2,,
ups And b,Radial Velocity,4,4.617033,0.059222,0.0215,,,24.199345,41.40546,13.47,4.1,,,,2450005.368,,218.531,,,-28.9,4,,
ups And c,Radial Velocity,4,241.258,0.827774,0.2596,,,24.199345,41.40546,13.47,4.1,,,,2450157.78,,629.595,,,-28.9,4,,
ups And d,Radial Velocity,4,1276.46,2.51329,0.2987,,,24.199345,41.40546,13.47,4.1,,,,2451347.48,,1313.22,,,-28.9,4,,
ups And e,Radial Velocity,4,3848.86,5.24558,0.00536,,,24.199345,41.40546,13.47,4.1,,,,2449535.95,,336.568,,,-28.9,4,,
xi Aql b,Radial Velocity,1,136.75,0.68,0,,,298.562012,8.461452,62.66,4.68,,,,2453001.7,,890,,,,5,,
Fomalhaut b,Imaging,1,318280,115,0.13,,,344.412689,-29.622236,7.69,1.16,,2,,,826.3,,13.5,0.123,,2.3,,
Kapteyn b,Radial Velocity,2,48.616,0.168,0.21,,,77.91909,-45.018414,3.92,8.845,3550,0.28,0.29,,,4.8,,,245.2,6,,
Kapteyn c,Radial Velocity,2,121.54,0.311,0.23,,,77.91909,-45.018414,3.92,8.845,3550,0.28,0.29,,,7,,,245.2,6,,
1RXS J160929.1-210524 b,Imaging,1,,330,,,,242.376266,-21.083036,145,,4060,0.85,1.35,,2543,,18.647,0.171,,5.7,,
2MASS J01225093-2439505 b,Imaging,1,,52,,,,20.712242,-24.664049,36,14.24,3530,0.4,,,7786.5,,,,9.6,6.35,-1.72,
2MASS J04414489+2301513 b,Imaging,1,,15,,,,70.437073,23.030941,140,,,0.02,,,2383.6,,,,,6.85,,
2MASS J12073346-3932539 b,Imaging,1,,46,,,,181.88945,-39.548332,52.4,20.15,,0.02,,,1271,,,,,6.8,,
2MASS J21402931+1625183 A b,Imaging,1,7336.5,,0.26,,46.2,325.122162,16.421759,25,,2300,0.08,0.12,,6657.48,,10.31,0.09,13,6.85,-3.48,
BD-17 63 b,Radial Velocity,1,655.6,1.34,0.54,,,7.142942,-16.226345,37.54,9.566,4714,0.74,0.69,2454627.1,,1620.9,,,,5.5,-0.678,
BD-13 2130 b,Radial Velocity,1,714.3,2.1,0.21,,,114.288492,-13.906663,,9.767,,,,2453213,,3368.85608,,,,4.5,,
BD-10 3166 b,Radial Velocity,1,3.48777,0.0452,0.019,,,164.619936,-10.770373,80,10.08,5393,1.01,,2451171.22,145.56,,,,,5,,
BD-08 2823 b,Radial Velocity,2,5.6,0.056,0.15,,,150.198837,-9.51668,42.09,9.88,4746,0.74,,2454637.7,,14.4,,,53.34,5.3,,
BD-08 2823 c,Radial Velocity,2,237.6,0.68,0.19,,,150.198837,-9.51668,42.09,9.88,4746,0.74,,2454193,,104,,,53.34,5.3,,
BD-06 1339 b,Radial Velocity,2,3.8728,0.0428,0,,,88.251183,-5.994844,20.1,9.7,4324,0.7,,2455220.5,,8.5,,,23.62,5.85,-1.022,
BD-06 1339 c,Radial Velocity,2,125.94,0.435,0.31,,,88.251183,-5.994844,20.1,9.7,4324,0.7,,2455265.2,,53,,,23.62,5.85,-1.022,
BD+14 4559 b,Radial Velocity,1,268.94,0.777,0.29,,,318.399963,14.689387,50.03,9.63,5008,0.86,0.95,2453293.71,,467.19,,,,5.2,-0.32,
BD+15 2940 b,Radial Velocity,1,137.48,0.539,0.26,,,240.095566,15.54693,175.44,9.046,4796,1.1,14.7,2453464,,352.78,,,,5,2.01,
BD+20 2457 b,Radial Velocity,2,379.63,1.45,0.15,,,154.186905,19.891409,,9.75,4137,2.8,49,2454677.03,,6807.63,,,,5.2,3.17,
BD+20 2457 c,Radial Velocity,2,621.99,2.01,0.18,,,154.186905,19.891409,,9.75,4137,2.8,49,2453866.95,,3963.17,,,,5.2,3.17,
BD+20 274 b,Radial Velocity,1,578.2,1.3,0.21,,,25.920324,21.005314,,9.36,4296,0.8,17.3,2453920.5,1334.8,,,,,5.5,1.96,
BD+48 738 b,Radial Velocity,1,392.6,1,0.2,,,40.710224,49.58696,,9.14,4414,0.74,11,,,289.21,,,,5,1.69,
CFBDSIR J145829+101343 b,Imaging,1,10037.5,2.6,,,,224.620834,10.228611,23.1,,580.5,0.02,,,3337.1,,,,,,,
CHXR 73 b,Imaging,1,,210,,,,166.619888,-77.625877,,,,0.35,,,3994.486,,,,,6.35,,
CoRoT-1 b,Transit,1,1.5089557,,0,0.38,85.1,102.079887,-3.102147,,13.6,5950,0.95,1.11,,327.35,,16.7,0.153,23.35,4,,
CoRoT-2 b,Transit,1,1.7429935,0.02798,0.0143,1.47,88.08,291.777069,1.383714,200,12.57,5625,0.96,0.91,2454237.536,1102.82,,16.432,0.151,23.25,,,1.814
CoRoT-3 b,Transit,1,4.2568,,0,26.4,85.9,292.055267,0.12182,680,13.292,6740,1.37,1.56,,6883.91,,11.32,0.104,-56.16,3.3,,
CoRoT-4 b,Transit,1,9.20205,0.09,0,0.525,90,102.194664,-0.672774,,,6190,1.16,1.17,,228.83,,13.34,0.122,32.3,,,
CoRoT-5 b,Transit,1,4.0378962,0.04947,0.09,0.217,85.83,101.277254,0.815239,,,6100,1,1.19,,148.42,,15.558,0.143,,3.9,,
CoRoT-6 b,Transit,1,8.886593,0.0855,0.1,2.32,89.07,281.072525,6.663194,,13.912,6090,1.05,1.02,,940.74,,13.068,0.12,-18.24,3.9,,
CoRoT-7 b,Transit,2,0.853585,0.0172,0,5.6,80.1,100.956125,-1.063033,150,11.668,5275,0.93,0.87,,4.8,,1.68,0.015,31.17,4.9,,1.6
CoRoT-7 c,Radial Velocity,2,3.698,0.046,0,,,100.956125,-1.063033,150,11.668,5275,0.93,0.87,,8.4,,,,31.17,4.9,,1.6
CoRoT-8 b,Transit,1,6.21229,0.063,0,1.6,88.4,291.588531,1.426452,380,14.8,5080,0.88,0.77,,69.92,,6.39,0.059,-37.47,5.1,,2.7
CoRoT-9 b,Transit,1,95.2738,0.407,0.11,0.9,89.99,280.786713,6.204172,460,13.69,5625,0.99,0.94,2454603.345,266.97,,11.77,0.108,19.79,4.3,,1.68
CoRoT-10 b,Transit,1,13.2406,0.1055,0.53,3.7,88.55,291.063721,0.746143,345,15.22,5075,0.89,0.79,2454990.85,874,,10.87,0.1,15.33,5.1,,3.32
CoRoT-11 b,Transit,1,2.99433,0.0436,0,0.99,83.17,280.687256,5.937688,560,12.939,6440,1.27,1.37,,740.51,,16.03,0.147,,3.6,,0.69
CoRoT-12 b,Transit,1,2.828042,0.04016,0.07,0.411,85.48,100.765678,-1.296439,1150,15.515,5675,1.08,1.12,,291.438,,16.14,0.148,,,,1.08
CoRoT-13 b,Transit,1,4.03519,0.051,0,2.34,88.02,102.721138,-5.086445,1060,15.039,5945,1.09,1.01,,415.704,,9.92,0.091,22.45,4,,1.468
CoRoT-14 b,Transit,1,1.51214,0.027,0,7.3,79.6,103.42421,-5.536037,1340,16.033,6035,1.13,1.21,2454787.67,2415.4,,12.22,0.112,,3.9,,0.91
CoRoT-16 b,Transit,1,5.35227,0.0618,0.33,0.44,85.01,278.524689,-6.002595,840,15.63,5650,1.1,1.19,,170.032,,13.11,0.12,,4.5,,0.93
CoRoT-17 b,Transit,1,3.7681,0.0461,0,2.82,88.34,278.699249,-6.612234,920,15.46,5740,1.04,1.59,2454923.309,772.29,,11.43,0.105,54.77,4.2,,0.32
CoRoT-18 b,Transit,1,1.9000693,0.0295,0.08,2.2,86.5,98.172409,-0.031586,870,15,5440,0.95,1,,1102.82,,14.68,0.135,29.55,4.9,,1.35
CoRoT-19 b,Transit,1,3.89713,0.0518,0.047,0.71,88,97.033585,-0.170681,770,14.007,6090,1.21,1.65,,352.78,,14.46,0.133,24.16,3.9,0.544,0.38
CoRoT-20 b,Transit,1,9.24285,0.0902,0.562,8.87,88.21,97.720406,0.226919,1230,14.66,5880,1.14,1.02,2455265.791,1347.54,,9.42,0.086,60.62,4.2,,1.51
CoRoT-23 b,Transit,1,3.6313,0.048,0.16,3,85.7,279.782623,4.357806,600,15.63,5900,1.14,1.61,,889.9,,11.77,0.108,-35.18,4,,0.5
CoRoT-24 b,Transit,2,5.1134,0.056,0,0.9,86.5,101.922546,-3.719301,600,,4950,0.91,0.86,,5.7,,3.7,0.034,51.37,5.1,,
CoRoT-24 c,Transit,2,11.759,0.098,0,1.3,89,101.922546,-3.719301,600,,4950,0.91,0.86,,28,,5,0.045,51.37,5.1,,
CoRoT-25 b,Transit,1,4.86069,0.0578,0,0.15,84.5,280.629669,6.513829,1000,,6040,1.09,1.19,,85.81,,12.11,0.111,-15.42,3.9,,
CoRoT-26 b,Transit,1,4.20474,0.0526,0,0.28,86.8,279.750519,6.969787,1670,,5590,1.09,1.79,,165.26,,14.12,0.13,15.51,4.5,,
