planetName,discoveryMethod,planetsInSystem,orbitalPeriod,orbitalSemiMajorAxis,orbitalEccentricity,planetDensity,orbitalInclination,rightAscension,Declination,distanceParsecs,vBand,stellarTemperature,solarMass,solarRadii,periastronDays,planetEarthMasses,planetEarthMassSinI,planetEarthRadii,planetSolarRadii,stellarRadialVelocity,spectralType,stellarLuminosity,stellarDensity
KOI-94 b,Transit,4,3.743208,0.05119,0.25,10.1,89.3,297.333069,41.891117,,,6182,1.28,1.52,,10.5,,1.71,0.016,,,0.479,
KOI-94 c,Transit,4,10.423648,0.1013,0.43,0.91,88.36,297.333069,41.891117,,,6182,1.28,1.52,,15.6,,4.32,0.04,,,0.479,
KOI-94 d,Transit,4,22.342989,0.1684,0.022,0.363,89.871,297.333069,41.891117,,,6182,1.28,1.52,,106,,11.27,0.103,,,0.479,
KOI-94 e,Transit,4,54.32031,0.3046,0.019,0.6,89.76,297.333069,41.891117,,,6182,1.28,1.52,,35,,6.56,0.06,,,0.479,
KOI-351 b,Transit,7,7.008151,0.074,,,89.4,284.433502,49.305161,780,,6080,1.2,1.2,,,,1.31,0.012,,,,
KOI-351 c,Transit,7,8.719375,0.089,,,89.68,284.433502,49.305161,780,,6080,1.2,1.2,,,,1.19,0.011,,,,
KOI-351 d,Transit,7,59.73667,0.32,,,89.71,284.433502,49.305161,780,,6080,1.2,1.2,,,,2.87,0.026,,,,
KOI-351 e,Transit,7,91.93913,0.42,,,89.79,284.433502,49.305161,780,,6080,1.2,1.2,,,,2.66,0.024,,,,
KOI-351 f,Transit,7,124.9144,0.48,,,89.77,284.433502,49.305161,780,,6080,1.2,1.2,,,,2.88,0.026,,,,
KOI-351 g,Transit,7,210.60697,0.71,,,89.8,284.433502,49.305161,780,,6080,1.2,1.2,,,,8.1,0.074,,,,
KOI-351 h,Transit,7,331.60059,1.01,,,89.6,284.433502,49.305161,780,,6080,1.2,1.2,,,,11.3,0.104,,,,
Kepler-91 b,Transit,1,6.24658,0.072,0.066,0.44,68.5,285.672882,44.116734,1030,,4550,1.31,6.3,,279.68,,15.513,0.142,,5.3,1.225,0.0073
Kepler-92 b,Transit,2,13.749,,,,,289.08606,41.562943,,,5883,1.21,1.7,,64.3,,3.51,0.032,,,,
Kepler-92 c,Transit,2,26.723,,,,,289.08606,41.562943,,,5883,1.21,1.7,,6.1,,2.6,0.024,,,,
Kepler-93 b,Transit,2,4.72674,,,4.17,,291.418274,38.672356,,,5669,0.91,0.92,,2.59,,1.5,0.014,,,,1.64
Kepler-93 c,Radial Velocity,2,1460,,,,,291.418274,38.672356,,,5669,0.91,0.92,,954,,,,,,,1.64
Kepler-94 b,Transit,2,2.50806,,,1.45,,281.194733,47.497147,,,4781,0.81,0.76,,10.84,,3.51,0.032,,,,2.9
Kepler-94 c,Radial Velocity,2,820.3,,,,,281.194733,47.497147,,,4781,0.81,0.76,,3126,,,,,,,2.9
Kepler-95 b,Transit,1,11.5231,,,1.71,,284.482452,44.398037,,,5699,1.08,1.41,,13,,3.42,0.031,,,,0.54
Kepler-96 b,Transit,1,16.2385,,,2.26,,297.069641,40.525143,,,5690,1,1.02,,8.46,,2.67,0.025,,,,1.54
Kepler-97 b,Transit,2,2.58664,,,5.44,,287.32663,48.673431,,,5779,0.94,0.98,,3.51,,1.48,0.014,,,,1.53
Kepler-97 c,Radial Velocity,2,789,,,,,287.32663,48.673431,,,5779,0.94,0.98,,344,,,,,,,1.53
Kepler-98 b,Transit,1,1.54168,,,2.18,,285.661652,37.964504,,,5539,0.99,1.11,,3.55,,1.99,0.018,,,,1.12
Kepler-99 b,Transit,1,4.60358,,,10.9,,297.354004,41.300049,,,4782,0.79,0.73,,6.15,,1.48,0.014,,,,2.86
Kepler-100 b,Transit,3,6.88705,,,14.25,,291.385986,41.990273,,,5825,1.08,1.49,,7.34,,1.32,0.012,,,,0.44
Kepler-100 c,Transit,3,12.8159,,,0.35,,291.385986,41.990273,,,5825,1.08,1.49,,0.85,,2.2,0.02,,,,0.44
Kepler-100 d,Transit,3,35.3331,,,,,291.385986,41.990273,,,5825,1.08,1.49,,3,,1.61,0.015,,,,0.44
Kepler-101 b,Transit,2,3.487691,0.048,,,,283.255493,48.355228,,,5570,1.12,1.67,,,,5.87,0.054,,,,
Kepler-101 c,Transit,2,6.029809,0.068,,,,283.255493,48.355228,,,5570,1.12,1.67,,,,1.33,0.012,,,,
Kepler-102 b,Transit,5,5.28696,,,23.29,,281.482758,47.208031,,,4909,0.81,0.76,,0.41,,0.47,0.004,,,-0.553,2.61
Kepler-102 c,Transit,5,7.07142,,,,,281.482758,47.208031,,,4909,0.81,0.76,,3,,0.58,0.005,,,-0.553,2.61
Kepler-102 d,Transit,5,10.3117,,,13.27,,281.482758,47.208031,,,4909,0.81,0.76,,3.8,,1.18,0.011,,,-0.553,2.61
Kepler-102 e,Transit,5,16.1457,,,4.68,,281.482758,47.208031,,,4909,0.81,0.76,,8.93,,2.22,0.02,,,-0.553,2.61
Kepler-102 f,Transit,5,27.4536,,,4.92,,281.482758,47.208031,,,4909,0.81,0.76,,0.62,,0.88,0.008,,,-0.553,2.61
Kepler-103 b,Transit,2,15.9654,,,1.38,,288.984558,40.064522,,,5845,1.09,1.44,,9.7,,3.37,0.031,,,,0.52
Kepler-103 c,Transit,2,179.612,,,1.47,,288.984558,40.064522,,,5845,1.09,1.44,,36.1,,5.14,0.047,,,,0.52
Kepler-104 b,Transit,3,11.427548,0.094,,,,287.604614,42.166779,,,5711,0.81,1.35,,,,3.1,0.028,,,,
Kepler-104 c,Transit,3,23.668205,0.153,,,,287.604614,42.166779,,,5711,0.81,1.35,,,,3.13,0.029,,,,
Kepler-104 d,Transit,3,51.755394,0.257,,,,287.604614,42.166779,,,5711,0.81,1.35,,,,3.58,0.033,,,,
Kepler-105 b,Transit,2,5.4122,0.066,0.47,,85.94,287.887329,46.276237,,,5873,1.28,1.16,,,,4.81,0.044,,,0.607,0.46
Kepler-105 c,Transit,2,7.125939,0.072,,,,287.887329,46.276237,,,5873,1.28,1.16,,,,1.61,0.015,,,0.607,0.46
Kepler-106 b,Transit,4,6.16486,,,1.26,,300.863983,44.337555,,,5858,1,1.04,,0.15,,0.82,0.007,,,,1.38
Kepler-106 c,Transit,4,13.5708,,,3.28,,300.863983,44.337555,,,5858,1,1.04,,10.44,,2.5,0.023,,,,1.38
Kepler-106 d,Transit,4,23.9802,,,,,300.863983,44.337555,,,5858,1,1.04,,8.1,,0.95,0.009,,,,1.38
Kepler-106 e,Transit,4,43.8445,,,3.1,,300.863983,44.337555,,,5858,1,1.04,,11.17,,2.56,0.024,,,,1.38
Kepler-107 b,Transit,4,3.179997,0.044,,,,297.028259,48.208611,,,5851,,1.41,,,,1.56,0.014,,,,
Kepler-107 c,Transit,4,4.901425,0.059,,,,297.028259,48.208611,,,5851,,1.41,,,,1.81,0.017,,,,
Kepler-107 d,Transit,4,7.958203,0.082,,,,297.028259,48.208611,,,5851,,1.41,,,,1.07,0.01,,,,
Kepler-107 e,Transit,4,14.749049,0.123,,,,297.028259,48.208611,,,5851,,1.41,,,,3.45,0.032,,,,
Kepler-108 b,Transit,2,49.183921,0.292,,,,294.559174,46.062325,,,5854,0.87,2.19,,,,8.65,0.079,,,,
Kepler-108 c,Transit,2,190.323494,0.721,,,,294.559174,46.062325,,,5854,0.87,2.19,,,,8.18,0.075,,,,
Kepler-109 b,Transit,2,6.48163,,,0.3,,290.392731,40.284874,,,5952,1.04,1.32,,1.3,,2.37,0.022,,,,0.65
Kepler-109 c,Transit,2,21.2227,,,0.65,,290.392731,40.284874,,,5952,1.04,1.32,,2.22,,2.52,0.023,,,,0.65
Kepler-110 b,Transit,2,12.691112,0.107,,,,292.929138,48.602814,,,5960,,1.15,,,,1.83,0.017,,,,
Kepler-110 c,Transit,2,31.719775,0.198,,,,292.929138,48.602814,,,5960,,1.15,,,,2.21,0.02,,,,
Kepler-111 b,Transit,2,3.341815,0.046,,,,291.653168,44.688274,,,5952,,1.16,,,,1.58,0.015,,,,
Kepler-111 c,Transit,2,224.784608,0.761,,,,291.653168,44.688274,,,5952,,1.16,,,,7.3,0.067,,,,
Kepler-112 b,Transit,2,8.408878,0.076,,,,296.981018,43.209751,,,5544,,0.84,,,,2.36,0.022,,,,
Kepler-112 c,Transit,2,28.574263,0.172,,,,296.981018,43.209751,,,5544,,0.84,,,,2.4,0.022,,,,
Kepler-113 b,Transit,2,4.754,,,10.73,,287.997894,50.944332,,,4725,0.75,0.69,,11.7,,1.82,0.017,,,,2.71
Kepler-113 c,Transit,2,8.92507,,,,,287.997894,50.944332,,,4725,0.75,0.69,,8.7,,2.18,0.02,,,,2.71
Kepler-114 b,Transit,3,5.188549,0.053,,,,294.121429,48.349525,,,4605,0.56,0.67,,,,1.26,0.012,,,,
Kepler-114 c,Transit,3,8.041,,,,,294.121429,48.349525,,,4605,0.56,0.67,,2.8,,1.6,0.015,,,,
Kepler-114 d,Transit,3,11.776,,,,,294.121429,48.349525,,,4605,0.56,0.67,,3.9,,2.53,0.023,,,,
Kepler-115 b,Transit,2,2.403679,0.036,,,,297.711853,45.261925,,,5979,1,1.21,,,,1.09,0.01,,,,
Kepler-115 c,Transit,2,8.990889,0.087,,,,297.711853,45.261925,,,5979,1,1.21,,,,2.6,0.024,,,,
Kepler-116 b,Transit,2,5.968734,0.069,,,,294.742065,43.536835,,,6142,1.16,1.45,,,,3.42,0.031,,,,
Kepler-116 c,Transit,2,13.07163,0.116,,,,294.742065,43.536835,,,6142,1.16,1.45,,,,2.3,0.021,,,,
Kepler-117 b,Transit,2,18.795952,0.148,,,,288.79303,48.040234,,,6169,,1.47,,,,7.81,0.072,,,,
Kepler-117 c,Transit,2,50.790412,0.287,,,,288.79303,48.040234,,,6169,,1.47,,,,11.3,0.104,,,,
Kepler-118 b,Transit,2,7.518496,0.073,,,,299.213165,41.424824,,,5274,0.86,1.09,,,,1.96,0.018,,,,
Kepler-118 c,Transit,2,20.17202,0.141,,,,299.213165,41.424824,,,5274,0.86,1.09,,,,7.68,0.07,,,,
Kepler-119 b,Transit,2,2.422082,0.035,,,,295.946411,42.658924,,,5595,,0.84,,,,3.6,0.033,,,,
Kepler-119 c,Transit,2,4.125103,0.049,,,,295.946411,42.658924,,,5595,,0.84,,,,0.92,0.008,,,,
Kepler-120 b,Transit,2,6.312501,0.055,,,,287.891632,39.339123,,,4096,,0.53,,,,2.15,0.02,,,,
Kepler-120 c,Transit,2,12.794585,0.088,,,,287.891632,39.339123,,,4096,,0.53,,,,1.53,0.014,,,,
Kepler-121 b,Transit,2,3.177422,0.039,,,,286.162079,39.677994,,,5311,,0.7,,,,2.34,0.021,,,,
Kepler-121 c,Transit,2,41.008011,0.216,,,,286.162079,39.677994,,,5311,,0.7,,,,2.27,0.021,,,,
Kepler-122 b,Transit,5,5.766193,0.064,,,,291.111877,39.949104,,,6050,0.99,1.22,,,,2.34,0.021,,,,
Kepler-122 c,Transit,5,12.465988,0.108,,,,291.111877,39.949104,,,6050,0.99,1.22,,,,5.87,0.054,,,,
Kepler-122 d,Transit,5,21.587475,0.155,,,,291.111877,39.949104,,,6050,0.99,1.22,,,,2.2,0.02,,,,
Kepler-122 e,Transit,5,37.993273,0.227,,,,291.111877,39.949104,,,6050,0.99,1.22,,,,2.6,0.024,,,,
Kepler-122 f,Transit Timing Variations,5,56.268,,,,,291.111877,39.949104,,,6050,0.99,1.22,,36,,1.75,0.016,,,,
Kepler-123 b,Transit,2,17.232366,0.135,,,,296.998627,42.781956,,,6089,1.03,1.26,,,,2.94,0.027,,,,
Kepler-123 c,Transit,2,26.695074,0.181,,,,296.998627,42.781956,,,6089,1.03,1.26,,,,1.48,0.014,,,,
Kepler-124 b,Transit,3,3.410493,0.039,,,,286.752808,49.064911,,,4984,,0.64,,,,0.73,0.007,,,,
Kepler-124 c,Transit,3,13.821375,0.1,,,,286.752808,49.064911,,,4984,,0.64,,,,1.75,0.016,,,,
Kepler-124 d,Transit,3,30.950851,0.17,,,,286.752808,49.064911,,,4984,,0.64,,,,1.11,0.01,,,,
Kepler-125 b,Transit,2,4.164389,0.041,,,,298.258118,47.604946,,,3810,0.55,0.51,,,,2.37,0.022,,,,
Kepler-125 c,Transit,2,5.774464,0.051,,,,298.258118,47.604946,,,3810,0.55,0.51,,,,0.74,0.007,,,,
Kepler-126 b,Transit,3,10.495711,0.099,,,,289.34729,44.208553,,,6239,,1.36,,,,1.52,0.014,,,,
Kepler-126 c,Transit,3,21.869741,0.162,,,,289.34729,44.208553,,,6239,,1.36,,,,1.58,0.015,,,,
Kepler-126 d,Transit,3,100.283134,0.448,,,,289.34729,44.208553,,,6239,,1.36,,,,2.5,0.023,,,,
Kepler-127 b,Transit,3,14.435889,0.125,,,,285.189972,46.027962,,,6106,,1.36,,,,1.4,0.013,,,,
Kepler-127 c,Transit,3,29.393195,0.2,,,,285.189972,46.027962,,,6106,,1.36,,,,2.66,0.024,,,,
Kepler-127 d,Transit,3,48.630408,0.28,,,,285.189972,46.027962,,,6106,,1.36,,,,2.64,0.024,,,,
Kepler-128 b,Transit,2,15.09,,,,,282.492218,43.980213,,,6090,1.18,1.66,,30.7,,1.13,0.01,,,,
Kepler-128 c,Transit,2,22.804,,,,,282.492218,43.980213,,,6090,1.18,1.66,,33.3,,1.13,0.01,,,,
Kepler-129 b,Transit,2,15.79186,0.131,,,,285.311279,47.848595,,,5770,1.18,1.64,,,,2.37,0.022,,,,
Kepler-129 c,Transit,2,82.20017,0.393,,,,285.311279,47.848595,,,5770,1.18,1.64,,,,2.55,0.023,,,,
Kepler-130 b,Transit,3,8.457458,0.079,,,,288.450653,40.245304,,,5884,1,1.13,,,,1.02,0.009,,,0.155,0.87
Kepler-130 c,Transit,3,27.50868,0.178,0,,89.34,288.450653,40.245304,,,5884,1,1.13,,,,2.9,0.027,,,0.155,0.87
Kepler-130 d,Transit,3,87.517905,0.377,,,,288.450653,40.245304,,,5884,1,1.13,,,,1.64,0.015,,,0.155,0.87
Kepler-131 b,Transit,2,16.092,,,6,,288.530823,40.942303,,,5685,1.02,1.03,,16.13,,2.41,0.022,,,,1.44
Kepler-131 c,Transit,2,25.5169,,,77.7,,288.530823,40.942303,,,5685,1.02,1.03,,8.25,,0.84,0.008,,,,1.44
Kepler-132 b,Transit,3,6.178196,0.067,,,,283.235809,41.343037,,,6003,,1.18,,,,1.21,0.011,,,,
Kepler-132 c,Transit,3,6.414914,0.068,,,,283.235809,41.343037,,,6003,,1.18,,,,1.28,0.012,,,,
Kepler-132 d,Transit,3,18.010199,0.136,,,,283.235809,41.343037,,,6003,,1.18,,,,1.55,0.014,,,,
Kepler-133 b,Transit,2,8.129976,0.083,,,,297.277985,48.320328,,,5736,,1.43,,,,1.76,0.016,,,,
Kepler-133 c,Transit,2,31.517586,0.204,,,,297.277985,48.320328,,,5736,,1.43,,,,2.84,0.026,,,,
Kepler-134 b,Transit,2,5.317429,0.06,,,,284.739014,49.598396,,,5983,,1.18,,,,2,0.018,,,,
Kepler-134 c,Transit,2,10.105785,0.092,,,,284.739014,49.598396,,,5983,,1.18,,,,1.26,0.012,,,,
Kepler-135 b,Transit,2,6.00253,0.067,,,,290.495117,38.795479,,,6090,,1.27,,,,1.81,0.017,,,,
Kepler-135 c,Transit,2,11.448708,0.103,,,,290.495117,38.795479,,,6090,,1.27,,,,1.16,0.011,,,,
Kepler-136 b,Transit,2,11.5789,0.106,,,,296.467316,42.59877,,,6165,1.2,1.35,,,,2.05,0.019,,,,
Kepler-136 c,Transit,2,16.399235,0.133,,,,296.467316,42.59877,,,6165,1.2,1.35,,,,1.99,0.018,,,,
Kepler-137 b,Transit,2,8.436387,0.077,,,,282.135529,43.039101,,,5187,,0.8,,,,1.47,0.013,-28.1,,,
Kepler-137 c,Transit,2,18.735753,0.13,,,,282.135529,43.039101,,,5187,,0.8,,,,1.88,0.017,-28.1,,,
Kepler-138 b,Transit,3,10.312364,0.077,,,,290.381561,43.292973,,,4079,0.57,0.53,,,,0.61,0.006,,6.1,,2.75
Kepler-138 c,Transit,3,13.78164,,0.05,5,,290.381561,43.292973,,,4079,0.57,0.53,,3.83,,1.61,0.015,,6.1,,2.75
Kepler-138 d,Transit,3,23.08933,,0.024,1.31,,290.381561,43.292973,,,4079,0.57,0.53,,1.01,,1.61,0.015,,6.1,,2.75
Kepler-139 b,Transit,2,15.771044,0.127,,,,282.391968,43.889351,,,5594,1.08,1.3,,,,2.94,0.027,,,,
Kepler-139 c,Transit,2,157.072878,0.586,,,,282.391968,43.889351,,,5594,1.08,1.3,,,,3.38,0.031,,,,
Kepler-140 b,Transit,2,3.25427,0.045,,,,287.369476,46.768211,,,6077,,1.29,,,,1.61,0.015,,,,
Kepler-140 c,Transit,2,91.353282,0.414,,,,287.369476,46.768211,,,6077,,1.29,,,,1.8,0.017,,,,
Kepler-141 b,Transit,2,3.107675,0.039,,,,297.970886,47.731678,,,4910,1,0.79,,,,0.69,0.006,,,,
Kepler-141 c,Transit,2,7.010606,0.067,,,,297.970886,47.731678,,,4910,1,0.79,,,,1.41,0.013,,,,
Kepler-142 b,Transit,3,2.024152,0.032,,,,295.118896,48.481281,,,5790,0.99,1.27,,,,1.99,0.018,,,,
Kepler-142 c,Transit,3,4.761702,0.057,,,,295.118896,48.481281,,,5790,0.99,1.27,,,,2.86,0.026,,,,
Kepler-142 d,Transit,3,41.809118,0.242,,,,295.118896,48.481281,,,5790,0.99,1.27,,,,2.16,0.02,,,,
Kepler-143 b,Transit,2,16.007583,0.127,,,,298.067719,49.412605,,,5848,,1.36,,,,2.41,0.022,,,,
Kepler-143 c,Transit,2,27.082511,0.181,,,,298.067719,49.412605,,,5848,,1.36,,,,3.37,0.031,,,,
Kepler-144 b,Transit,2,5.885273,0.066,,,,281.91568,42.775513,,,6075,1.03,1.24,,,,1.33,0.012,,,,
Kepler-144 c,Transit,2,10.104665,0.094,,,,281.91568,42.775513,,,6075,1.03,1.24,,,,1.35,0.012,,,,
Kepler-145 b,Transit,2,22.951,,,,,291.387756,44.529106,,,6022,1.32,1.85,,37.1,,2.65,0.024,,,,
Kepler-145 c,Transit,2,42.882,,,,,291.387756,44.529106,,,6022,1.32,1.85,,79.4,,4.32,0.04,,,,
Kepler-146 b,Transit,2,31.158799,0.2,,,,294.110748,38.710228,,,5948,,1.21,,,,3.71,0.034,,,,
Kepler-146 c,Transit,2,76.732171,0.364,,,,294.110748,38.710228,,,5948,,1.21,,,,3.13,0.029,,,,
Kepler-147 b,Transit,2,12.610584,0.113,,,,287.975769,39.087181,,,6012,1.01,1.47,,,,1.53,0.014,,,,
Kepler-147 c,Transit,2,33.416423,0.216,,,,287.975769,39.087181,,,6012,1.01,1.47,,,,2.43,0.022,,,,
Kepler-148 b,Transit,2,1.729366,0.028,,,,289.786224,46.858788,,,5272,,0.85,,,,1.8,0.017,,,,
Kepler-148 c,Transit,2,4.180043,0.05,,,,289.786224,46.858788,,,5272,,0.85,,,,3.6,0.033,,,,
Kepler-149 b,Transit,3,29.198943,0.184,,,,285.853668,38.384121,,,5381,,0.95,,,,4.21,0.039,,,,
Kepler-149 c,Transit,3,55.328328,0.281,,,,285.853668,38.384121,,,5381,,0.95,,,,1.61,0.015,,,,
Kepler-149 d,Transit,3,160.018032,0.571,,,,285.853668,38.384121,,,5381,,0.95,,,,3.96,0.036,,,,
Kepler-150 b,Transit,4,3.428054,0.044,,,,288.23407,40.520905,,,5560,,0.94,,,,1.25,0.011,,,,
Kepler-150 c,Transit,4,7.381998,0.073,,,,288.23407,40.520905,,,5560,,0.94,,,,3.69,0.034,,,,
Kepler-150 d,Transit,4,12.56093,0.104,,,,288.23407,40.520905,,,5560,,0.94,,,,2.79,0.026,,,,
Kepler-150 e,Transit,4,30.826557,0.189,,,,288.23407,40.520905,,,5560,,0.94,,,,3.12,0.029,,,,
Kepler-151 b,Transit,2,15.228958,0.116,,,,292.162781,41.023235,,,5460,0.83,0.83,,,,3.06,0.028,,,,
Kepler-151 c,Transit,2,24.674612,0.16,,,,292.162781,41.023235,,,5460,0.83,0.83,,,,2.09,0.019,,,,
Kepler-152 b,Transit,2,18.207973,0.124,,,,286.865479,41.989086,,,5088,,0.72,,,,2.79,0.026,,,,
Kepler-152 c,Transit,2,88.255055,0.356,,,,286.865479,41.989086,,,5088,,0.72,,,,2.39,0.022,,,,
Kepler-153 b,Transit,2,18.870227,0.129,,,,282.46051,48.257118,,,5404,,0.89,,,,2.92,0.027,,,,
Kepler-153 c,Transit,2,46.90232,0.237,,,,282.46051,48.257118,,,5404,,0.89,,,,2.53,0.023,,,,
Kepler-154 b,Transit,2,33.040532,0.198,,,,289.780518,49.89653,,,5690,0.89,1,,,,2.26,0.021,,,,
Kepler-154 c,Transit,2,62.303276,0.303,,,,289.780518,49.89653,,,5690,0.89,1,,,,2.95,0.027,,,,
Kepler-155 b,Transit,2,5.931194,0.056,,,,288.495819,51.081947,,,4508,0.58,0.62,,,,2.09,0.019,,,,
Kepler-155 c,Transit,2,52.661793,0.242,,,,288.495819,51.081947,,,4508,0.58,0.62,,,,2.24,0.021,,,,
Kepler-156 b,Transit,2,4.973456,0.054,,,,290.296509,37.749489,,,5094,,0.81,,,,2.3,0.021,,,,
Kepler-156 c,Transit,2,15.906801,0.117,,,,290.296509,37.749489,,,5094,,0.81,,,,2.55,0.023,,,,
Kepler-157 b,Transit,2,1.732342,0.028,,,,291.097229,38.87561,,,5774,,1.04,,,,1.32,0.012,,,,
Kepler-157 c,Transit,2,13.5405,0.11,,,,291.097229,38.87561,,,5774,,1.04,,,,2.24,0.021,,,,
Kepler-158 b,Transit,2,16.709184,0.111,,,,284.032257,39.781349,,,4623,,0.62,,,,2.12,0.019,,,,
Kepler-158 c,Transit,2,28.551383,0.158,,,,284.032257,39.781349,,,4623,,0.62,,,,1.9,0.017,,,,
Kepler-159 b,Transit,2,10.139623,0.082,,,,297.07016,40.868786,,,4625,,0.66,,,,2.38,0.022,,,,
Kepler-159 c,Transit,2,43.595792,0.218,,,,297.07016,40.868786,,,4625,,0.66,,,,3.41,0.031,,,,
Kepler-160 b,Transit,2,4.309427,0.05,,,,287.77359,42.869286,,,5857,,0.88,,,,1.54,0.014,,,,
Kepler-160 c,Transit,2,13.699087,0.109,,,,287.77359,42.869286,,,5857,,0.88,,,,3.61,0.033,,,,
Kepler-161 b,Transit,2,4.921355,0.054,,,,290.516479,43.083824,,,5078,0.77,0.81,,,,2.12,0.019,,,,
Kepler-161 c,Transit,2,7.06424,0.068,,,,290.516479,43.083824,,,5078,0.77,0.81,,,,2.05,0.019,,,,
Kepler-162 b,Transit,2,6.919798,0.069,,,,297.2789,43.724018,,,5816,,0.96,,,,1.26,0.012,,,,
Kepler-162 c,Transit,2,19.446355,0.137,,,,297.2789,43.724018,,,5816,,0.96,,,,3.03,0.028,,,,
Kepler-163 b,Transit,2,7.810937,0.078,,,,295.002808,46.987328,,,5776,0.96,0.92,,,,1.05,0.01,,,,
Kepler-163 c,Transit,2,21.347262,0.152,,,,295.002808,46.987328,,,5776,0.96,0.92,,,,2.26,0.021,,,,
Kepler-164 b,Transit,3,5.03503,0.058,,,,287.780823,47.629913,,,5888,1.11,1.15,,,,1.41,0.013,,,,
Kepler-164 c,Transit,3,10.945723,0.097,,,,287.780823,47.629913,,,5888,1.11,1.15,,,,2.73,0.025,,,,
Kepler-164 d,Transit,3,28.986769,0.187,,,,287.780823,47.629913,,,5888,1.11,1.15,,,,2.45,0.022,,,,
Kepler-165 b,Transit,2,8.180848,0.072,,,,280.69101,47.809734,,,5211,,0.77,,,,2.32,0.021,-23.59,,,
Kepler-165 c,Transit,2,15.31299,0.11,,,,280.69101,47.809734,,,5211,,0.77,,,,2.23,0.021,-23.59,,,
Kepler-166 b,Transit,2,7.650254,0.072,,,,293.160156,48.881191,,,5413,,0.74,,,,2.27,0.021,,,,
Kepler-166 c,Transit,2,34.260281,0.195,,,,293.160156,48.881191,,,5413,,0.74,,,,2.38,0.022,,,,
Kepler-167 b,Transit,2,4.393147,0.048,,,,292.658447,38.345413,,,4796,0.76,0.7,,,,1.45,0.013,,,,
Kepler-167 c,Transit,2,7.406097,0.068,,,,292.658447,38.345413,,,4796,0.76,0.7,,,,1.37,0.013,,,,
Kepler-168 b,Transit,2,4.425391,0.056,,,,294.710175,39.825104,,,6282,,1.11,,,,1.46,0.013,,,,
Kepler-168 c,Transit,2,13.193242,0.116,,,,294.710175,39.825104,,,6282,,1.11,,,,2.69,0.025,,,,
Kepler-169 b,Transit,5,3.250619,0.04,,,,285.999878,40.919331,,,4997,0.86,0.76,,,,1.13,0.01,,,,
Kepler-169 c,Transit,5,6.195469,0.062,,,,285.999878,40.919331,,,4997,0.86,0.76,,,,1.21,0.011,,,,
Kepler-169 d,Transit,5,8.348125,0.075,,,,285.999878,40.919331,,,4997,0.86,0.76,,,,1.25,0.011,,,,
Kepler-169 e,Transit,5,13.767102,0.105,,,,285.999878,40.919331,,,4997,0.86,0.76,,,,2.2,0.02,,,,
Kepler-169 f,Transit,5,87.090195,0.359,,,,285.999878,40.919331,,,4997,0.86,0.76,,,,2.58,0.024,,,,
Kepler-170 b,Transit,2,7.930592,0.08,,,,284.521179,41.629604,,,5679,,1.03,,,,3.2,0.029,,,,
Kepler-170 c,Transit,2,16.665863,0.131,,,,284.521179,41.629604,,,5679,,1.03,,,,2.86,0.026,,,,
Kepler-171 b,Transit,3,4.166972,0.05,,,,296.771912,41.755539,,,5642,,0.84,,,,2.34,0.021,,,,
Kepler-171 c,Transit,3,11.463462,0.098,,,,296.771912,41.755539,,,5642,,0.84,,,,2.56,0.024,,,,
Kepler-171 d,Transit,3,39.595519,0.223,,,,296.771912,41.755539,,,5642,,0.84,,,,1.89,0.017,,,,
Kepler-172 b,Transit,4,2.940309,0.04,,,,283.368408,41.821857,,,5526,0.86,1.08,,,,2.35,0.022,,,,
Kepler-172 c,Transit,4,6.388996,0.068,,,,283.368408,41.821857,,,5526,0.86,1.08,,,,2.86,0.026,,,,
Kepler-172 d,Transit,4,14.627119,0.118,,,,283.368408,41.821857,,,5526,0.86,1.08,,,,2.25,0.021,,,,
Kepler-172 e,Transit,4,35.118736,0.211,,,,283.368408,41.821857,,,5526,0.86,1.08,,,,2.76,0.025,,,,
Kepler-173 b,Transit,2,4.263742,0.048,,,,294.646698,41.884106,,,6031,0.78,0.95,,,,1.29,0.012,,,,
Kepler-173 c,Transit,2,8.005777,0.074,,,,294.646698,41.884106,,,6031,0.78,0.95,,,,2.43,0.022,,,,
Kepler-174 b,Transit,3,13.98179,0.1,,,,287.439209,43.832092,,,4880,,0.62,,,,1.96,0.018,,,,
Kepler-174 c,Transit,3,44.000529,0.214,,,,287.439209,43.832092,,,4880,,0.62,,,,1.49,0.014,,,,
Kepler-174 d,Transit,3,247.35373,0.677,,,,287.439209,43.832092,,,4880,,0.62,,,,2.19,0.02,,,,
Kepler-175 b,Transit,2,11.903515,0.105,,,,289.553284,43.876183,,,6064,1.04,1.01,,,,2.56,0.024,,,,
Kepler-175 c,Transit,2,34.035257,0.213,,,,289.553284,43.876183,,,6064,1.04,1.01,,,,3.1,0.028,,,,
Kepler-176 b,Transit,3,5.433074,0.058,,,,294.667969,43.85326,,,5232,,0.89,,,,1.43,0.013,,,,
Kepler-176 c,Transit,3,12.759712,0.102,,,,294.667969,43.85326,,,5232,,0.89,,,,2.6,0.024,,,,
Kepler-176 d,Transit,3,25.751974,0.163,,,,294.667969,43.85326,,,5232,,0.89,,,,2.51,0.023,,,,
Kepler-177 b,Transit,2,36.855,,,,,286.047119,45.053207,,,5942,1.07,1.07,,2,,2.9,0.027,,,,
